County,Voter Age
BARBOUR,47.7
BARBOUR,74.2
BARBOUR,68.5
BARBOUR,62
BARBOUR,63.8
BARBOUR,80.6
BARBOUR,65.1
BARBOUR,76.8
BARBOUR,92
BARBOUR,66.1
BARBOUR,76.1
BARBOUR,92.9
BARBOUR,73.2
BARBOUR,73.1
BARBOUR,34.3
BARBOUR,59.1
BARBOUR,93.9
BARBOUR,90.3
BARBOUR,66.3
BARBOUR,69.2
BARBOUR,81.2
BARBOUR,85.7
BARBOUR,80.9
BARBOUR,75.4
BARBOUR,83
BARBOUR,78.3
BARBOUR,84.5
BARBOUR,89.2
BARBOUR,80.4
BARBOUR,70.6
BARBOUR,61.3
BARBOUR,54.2
BARBOUR,80.1
CABELL,88.8
BARBOUR,54.7
BARBOUR,66.7
BARBOUR,59.3
BARBOUR,89.1
BARBOUR,85.2
BARBOUR,93.2
BARBOUR,34.3
BARBOUR,33.1
BARBOUR,81.8
BARBOUR,67.8
BARBOUR,63.7
BARBOUR,37.3
BARBOUR,70.3
BARBOUR,82.3
BARBOUR,94.3
BARBOUR,65.5
BARBOUR,66.7
BARBOUR,68.6
BARBOUR,95.5
BARBOUR,71.5
RANDOLPH,85.2
BARBOUR,85.5
BARBOUR,84.2
BARBOUR,84.3
BARBOUR,93.7
HARRISON,79.6
BARBOUR,76.6
BARBOUR,75.6
BARBOUR,69.2
BARBOUR,71.2
BARBOUR,71.9
BARBOUR,64.6
BARBOUR,80.7
BARBOUR,84
BARBOUR,103.4
BARBOUR,94.9
BARBOUR,62.3
BARBOUR,60.1
BARBOUR,85.2
BARBOUR,84.3
BARBOUR,86.7
BARBOUR,60.9
BARBOUR,91.8
BARBOUR,82.3
BARBOUR,78.7
HARRISON,76.1
BARBOUR,74.8
BARBOUR,78.9
BARBOUR,76.1
BARBOUR,75.1
BARBOUR,72
BARBOUR,87.7
BARBOUR,89.5
BARBOUR,46.7
BARBOUR,83.6
BARBOUR,64.7
BARBOUR,79
BARBOUR,65
BARBOUR,68.4
BARBOUR,77
BARBOUR,53.4
BARBOUR,87.1
BARBOUR,52.7
LEWIS,87.5
BARBOUR,85.5
BARBOUR,66.4
BARBOUR,81.6
BARBOUR,80.8
BARBOUR,84.4
BARBOUR,85.4
BARBOUR,72
BARBOUR,33.7
BARBOUR,69.5
BARBOUR,53.9
BARBOUR,71
MINERAL,95.3
BERKELEY,80.1
BERKELEY,86.6
BERKELEY,91.8
BERKELEY,63.3
BERKELEY,90.3
BERKELEY,92.3
BERKELEY,84.2
BERKELEY,85.6
BERKELEY,76.7
BERKELEY,89.5
BERKELEY,77.3
BERKELEY,66.9
BERKELEY,88.4
BERKELEY,60.5
BERKELEY,69.1
BERKELEY,96.1
BERKELEY,84.2
BERKELEY,66.9
BERKELEY,74.2
BERKELEY,90
BERKELEY,70.9
BERKELEY,98.7
BERKELEY,79.6
JEFFERSON,72.5
BERKELEY,69.8
BERKELEY,74.2
BERKELEY,78
BERKELEY,90.2
BERKELEY,82.4
BERKELEY,77.5
BERKELEY,64.9
BERKELEY,92.7
BERKELEY,87.3
BERKELEY,87.2
BERKELEY,63.6
BERKELEY,88.3
BERKELEY,73.6
BERKELEY,75.1
BERKELEY,81.2
BERKELEY,69.4
BERKELEY,75.8
GREENBRIER,44.2
BERKELEY,76.4
BERKELEY,76.5
BERKELEY,73.5
BERKELEY,68.1
BERKELEY,35.2
BERKELEY,40.1
BERKELEY,53.4
BERKELEY,74.5
BERKELEY,70.8
BERKELEY,82.6
BERKELEY,76.6
BERKELEY,81.1
BERKELEY,88.3
BERKELEY,89.1
BERKELEY,64.6
JEFFERSON,79.3
BERKELEY,71.1
BERKELEY,92.8
BERKELEY,72.1
BERKELEY,68.8
BERKELEY,92.9
BERKELEY,92.2
BERKELEY,89
BERKELEY,52.9
MINERAL,71.4
BERKELEY,71.2
BERKELEY,92.7
BERKELEY,85.5
BERKELEY,81.3
BERKELEY,76.7
BERKELEY,74.3
BERKELEY,80.3
BERKELEY,76.2
BERKELEY,68.2
BERKELEY,91.5
BERKELEY,89.6
BERKELEY,96.5
BERKELEY,91.5
BERKELEY,62.9
BERKELEY,89.4
BERKELEY,81.3
BERKELEY,81.6
BERKELEY,95.7
BERKELEY,92.4
JEFFERSON,62.6
BERKELEY,86.9
BERKELEY,63.1
BERKELEY,61.8
BERKELEY,98.8
MINERAL,75.2
BERKELEY,62.4
BERKELEY,65.5
BERKELEY,60.3
BERKELEY,50.2
BERKELEY,89.3
BERKELEY,82.2
BERKELEY,90
JEFFERSON,71.3
BERKELEY,69.2
BERKELEY,75
BERKELEY,61
BERKELEY,71.9
MORGAN,61.9
BERKELEY,93.9
BERKELEY,77.4
BERKELEY,45.2
BERKELEY,89.6
BERKELEY,89
BERKELEY,63.5
BERKELEY,86.8
BERKELEY,88.2
BERKELEY,62.2
HAMPSHIRE,65.7
BERKELEY,75.6
BERKELEY,64.7
BERKELEY,82.2
BERKELEY,74.1
BERKELEY,69.5
BERKELEY,77.7
BERKELEY,83.8
BERKELEY,87.3
BERKELEY,85.2
BERKELEY,83.3
BERKELEY,58
BERKELEY,36.4
BERKELEY,79.2
BERKELEY,68.7
BERKELEY,36.6
BERKELEY,88
BERKELEY,86.6
BERKELEY,70.7
BERKELEY,85.1
BERKELEY,70.8
BERKELEY,71.2
BERKELEY,64.8
BERKELEY,65.1
BERKELEY,77.7
BERKELEY,88.8
BERKELEY,74.6
BERKELEY,87.8
BERKELEY,74.9
BERKELEY,78.2
BERKELEY,96
BERKELEY,89.6
BERKELEY,81.3
BERKELEY,59.6
BERKELEY,97.2
JEFFERSON,47
BERKELEY,77.8
BERKELEY,92.9
BERKELEY,63.9
BERKELEY,90.1
KANAWHA,74.8
BERKELEY,37
BERKELEY,84
BERKELEY,70.8
BERKELEY,70.3
BERKELEY,34.6
BERKELEY,83.9
BERKELEY,57.4
BERKELEY,91.9
BERKELEY,95.8
BERKELEY,91.8
BERKELEY,32.5
BERKELEY,69.9
BERKELEY,80.8
BERKELEY,83.6
BERKELEY,68.4
BERKELEY,67.2
BERKELEY,75.6
BERKELEY,51.1
BERKELEY,72
BERKELEY,74.5
BERKELEY,73.6
BERKELEY,70.5
BERKELEY,64.8
BERKELEY,71.3
BERKELEY,78.4
BERKELEY,88
BERKELEY,72.1
BERKELEY,61.8
BERKELEY,70.2
BERKELEY,76
BERKELEY,50.3
BERKELEY,87.7
BERKELEY,71.9
BERKELEY,75.8
BERKELEY,75.8
BERKELEY,85.5
BERKELEY,71.9
BERKELEY,85.9
BERKELEY,97.1
BERKELEY,93.6
BERKELEY,96.3
BERKELEY,76.3
BERKELEY,49
BERKELEY,86.3
BERKELEY,77.1
BERKELEY,81.4
BERKELEY,72.8
BERKELEY,87.1
BERKELEY,102.1
BERKELEY,91.7
BERKELEY,47.9
BERKELEY,93.8
JEFFERSON,56.5
BERKELEY,75.7
BERKELEY,79
BERKELEY,65.4
BERKELEY,74.2
BERKELEY,57.6
BERKELEY,71.8
JEFFERSON,89.1
BERKELEY,64.1
BERKELEY,88.6
BERKELEY,85.5
BERKELEY,81.5
BERKELEY,85.2
BERKELEY,85.6
BERKELEY,72.7
BERKELEY,85.6
BERKELEY,77
BERKELEY,83.4
BERKELEY,83.9
BOONE,78.2
BOONE,76.4
BOONE,76
BOONE,68
BOONE,61.8
BOONE,78.9
BOONE,83.6
BOONE,63.2
BOONE,80.8
BOONE,49.2
BOONE,79.8
KANAWHA,63.2
KANAWHA,61.8
BOONE,79
BOONE,57.5
BOONE,95.9
BOONE,80.3
BOONE,76.9
BOONE,83.4
BOONE,82
BOONE,75.1
BOONE,79.9
POCAHONTAS,34.1
BOONE,73.2
BOONE,77.3
BOONE,63.2
BOONE,64.5
BOONE,90.7
BOONE,82.1
BOONE,67.3
BOONE,81.3
BOONE,74.3
BOONE,90.8
BOONE,62.2
KANAWHA,94.4
BOONE,79.5
BOONE,84.7
BOONE,92.1
LEWIS,73
MERCER,64.2
BOONE,88.8
BOONE,93.3
BOONE,78.3
BOONE,82.6
BOONE,82.4
BOONE,81.3
BOONE,79.7
BOONE,40.4
BOONE,68.1
BOONE,82.2
BOONE,94.2
BOONE,58.8
BOONE,88.5
HARRISON,76.1
BOONE,77.8
BOONE,82.7
BOONE,87.7
BOONE,69.4
BOONE,79.7
BOONE,93
BOONE,88.6
BOONE,90.8
LEWIS,71.4
BOONE,89.5
BOONE,43.2
BOONE,42.6
BOONE,77.8
BOONE,74.3
BOONE,90.9
BOONE,74.6
BOONE,77.2
BERKELEY,87.9
BOONE,54
BOONE,39.1
KANAWHA,70.7
BOONE,83.3
BOONE,76.1
LOGAN,59.5
BOONE,71.8
BOONE,72.9
BOONE,84.3
BOONE,58.5
BOONE,87.9
BOONE,73.3
BOONE,89.4
BOONE,91
BOONE,80.5
BOONE,71.9
BOONE,67.2
BOONE,71.9
BOONE,66.6
BOONE,84.4
BRAXTON,84.5
KANAWHA,90.1
BRAXTON,89
BRAXTON,83.9
BRAXTON,74.5
BRAXTON,78.3
BRAXTON,94.7
BRAXTON,83.7
BRAXTON,57.5
BRAXTON,72
BRAXTON,97.5
BRAXTON,65.9
BRAXTON,86.4
BRAXTON,89.9
BRAXTON,74.5
BRAXTON,86.9
BRAXTON,81.7
BRAXTON,76
BRAXTON,99.3
BRAXTON,67.2
CALHOUN,49.9
WEBSTER,78.2
BRAXTON,71.6
BRAXTON,67.6
BRAXTON,70.7
CALHOUN,42.8
CALHOUN,63
BRAXTON,79.7
BRAXTON,70.4
BRAXTON,83.6
BRAXTON,71.2
BRAXTON,91.1
BRAXTON,84.4
BRAXTON,88.5
BRAXTON,89.5
BRAXTON,84.5
BRAXTON,93
BRAXTON,79.5
KANAWHA,89.2
BRAXTON,78.9
BRAXTON,75.8
BRAXTON,86.4
BRAXTON,92.6
BRAXTON,37.1
BROOKE,86.4
BROOKE,68.4
BROOKE,82.7
BROOKE,78.3
BROOKE,76.8
BROOKE,61.7
BROOKE,50.9
BROOKE,104.5
BROOKE,80.8
BROOKE,67
BROOKE,76.6
BROOKE,89.6
BROOKE,53.7
BROOKE,74
BROOKE,66.3
HANCOCK,89.8
BROOKE,56.4
BROOKE,49.5
BROOKE,78.8
BROOKE,89.2
BROOKE,85.2
BROOKE,88.8
OHIO,80.2
BROOKE,88.9
BROOKE,83.2
BROOKE,72.1
BROOKE,84
BROOKE,90.1
BROOKE,84.2
BROOKE,91.1
HANCOCK,90.6
BROOKE,72.9
BROOKE,73.9
BROOKE,87.9
BROOKE,49.3
BROOKE,71.6
