,County,female_raw_2018,females_registered,female_turnout_2018,female_turnout_2022,margin,pct_change_since_2018,pct_change_since_2018_wrong,abortion_on_house,abortion_on_senate_ballot
1,BARBOUR,862,5039,17.1,11.4,-5.7,33,-33,no,no
2,BERKELEY,5386,36266,14.9,10.01,-4.8,33,-33,yes,yes
3,BOONE,741,7613,9.7,8.23,-1.5,15,-15,yes,yes
4,BRAXTON,752,4126,18.2,14.5,-3.7,20,-20,yes,no
5,BROOKE,861,9971,8.6,9.69,1.1,-13,13,yes,no
6,CABELL,4977,29296,17,12.53,-4.5,26,-26,yes,yes
7,CALHOUN,373,2051,18.2,21.99,3.8,-21,21,no,no
8,CLAY,472,2692,17.5,16.61,-0.9,5,-5,no,yes
9,DODDRIDGE,353,2346,15,13.54,-1.5,10,-10,no,yes
10,FAYETTE,1455,11566,12.6,11.66,-0.9,7,-7,yes,yes
11,GILMER,324,2370,13.7,12.31,-1.4,10,-10,yes,no
12,GRANT,758,3782,20,15.7,-4.3,22,-22,no,yes
13,GREENBRIER,2249,13554,16.6,20.31,3.7,-22,22,yes,yes
14,HAMPSHIRE,780,6631,11.8,11.43,-0.3,3,-3,no,yes
15,HANCOCK,776,10099,7.7,9,1.3,-17,17,yes,no
16,HARDY,542,4234,12.8,10.96,-1.8,14,-14,yes,yes
17,HARRISON,3356,20237,16.6,12.98,-3.6,22,-22,yes,no
18,JACKSON,1474,8347,17.7,13.9,-3.8,21,-21,no,yes
19,JEFFERSON,3662,20102,18.2,14.24,-4,22,-22,yes,yes
20,KANAWHA,9286,75548,12.3,12.59,0.3,-2,2,yes,yes
21,LEWIS,895,5037,17.8,11.35,-6.4,36,-36,yes,no
22,LINCOLN,955,6443,14.8,14.79,0,0,0,yes,yes
23,LOGAN,954,12522,7.6,5.63,-2,26,-26,no,yes
24,MARION,2388,20484,11.7,13.62,2,-16,16,yes,yes
25,MARSHALL,1172,9144,12.8,14.6,1.8,-14,14,yes,yes
26,MASON,1187,7926,15,10.87,-4.1,28,-28,no,no
27,MCDOWELL,360,8908,4,3.92,-0.1,2,-2,no,yes
28,MERCER,3821,21770,17.6,14.78,-2.8,16,-16,yes,yes
29,MINERAL,646,6835,9.5,8.43,-1,11,-11,yes,yes
30,MINGO,389,8110,4.8,5.34,0.5,-11,11,no,yes
31,MONONGALIA,7165,31583,22.7,22.02,-0.7,3,-3,yes,yes
32,MONROE,896,4032,22.2,19.98,-2.2,10,-10,yes,yes
33,MORGAN,1222,6953,17.6,11.03,-6.5,37,-37,no,yes
34,NICHOLAS,1073,8064,13.3,11.59,-1.7,13,-13,no,yes
36,OHIO,1981,13168,15,11.6,-3.4,23,-23,yes,no
37,PENDLETON,345,2511,13.7,13.81,0.1,-1,1,yes,no
38,PLEASANTS,513,2602,19.7,18.58,-1.1,6,-6,no,yes
39,POCAHONTAS,468,2823,16.6,14.58,-2,12,-12,yes,no
40,PRESTON,1413,9247,15.3,12.99,-2.3,15,-15,yes,yes
41,PUTNAM,2728,15920,17.1,0.98,-16.2,94,-94,yes,yes
42,RALEIGH,2625,24324,10.8,8.05,-2.7,25,-25,yes,yes
43,RANDOLPH,1355,7428,18.2,17.49,-0.8,4,-4,yes,no
44,RITCHIE,620,2949,21,16.9,-4.1,20,-20,no,yes
45,ROANE,848,4923,17.2,16.38,-0.8,5,-5,yes,yes
46,SUMMERS,882,4568,19.3,19.03,-0.3,1,-1,no,yes
47,TAYLOR,964,5148,18.7,15.06,-3.7,19,-19,yes,yes
48,TUCKER,468,2415,19.4,16.81,-2.6,13,-13,no,yes
49,TYLER,420,3224,13,13.47,0.4,-4,4,no,yes
50,UPSHUR,1430,5892,24.3,17.35,-6.9,29,-29,yes,no
51,WAYNE,1322,12622,10.5,9.22,-1.3,12,-12,no,yes
52,WEBSTER,429,2742,15.6,12.59,-3.1,19,-19,no,no
53,WETZEL,863,6215,13.9,11.25,-2.6,19,-19,yes,yes
54,WIRT,352,2114,16.7,16.64,0,0,0,yes,yes
55,WOOD,5496,28166,19.5,1.13,-18.4,94,-94,yes,yes
56,WYOMING,960,8819,10.9,9.44,-1.4,13,-13,yes,yes
