,County,18 to 24,18 to 24 registered,2018 turnout,2022 turnout ,decrease in youth voter turnout,decrease in youth voter turnout_adjusted
1,BARBOUR,67,920,7.3,1.9,-0.739104478,74
2,BERKELEY,424,8046,5.3,1.55,-0.705865566,71
3,BOONE,47,1714,2.7,2.37,-0.135706383,14
4,BRAXTON,44,813,5.4,4.38,-0.190695455,19
5,BROOKE,56,1294,4.3,1.9,-0.560964286,56
6,CABELL,492,5483,9,3.31,-0.631123374,63
7,CALHOUN,27,401,6.7,7.12,0.057451852,-6
8,CLAY,35,560,6.25,4.82,-0.2288,23
9,DODDRIDGE,25,410,6.1,3.56,-0.41616,42
10,FAYETTE,142,2956,4.8,2.87,-0.40255493,40
11,GILMER,29,401,7.2,3.83,-0.470403448,47
12,GRANT,67,687,9.8,3.55,-0.635992537,64
13,GREENBRIER,168,2021,8.3,5.51,-0.337160119,34
14,HAMPSHIRE,50,1204,4.2,1.6,-0.61472,61
15,HANCOCK,63,1782,3.5,2.3,-0.349428571,35
16,HARDY,58,825,7,2.59,-0.631594828,63
17,HARRISON,276,4226,6.5,2.76,-0.5774,58
18,JACKSON,183,1967,9.3,2.75,-0.704412568,70
19,JEFFERSON,366,3813,9.6,4.44,-0.537439344,54
20,KANAWHA,848,11588,7.3,2.5,-0.658372642,66
21,LEWIS,63,1000,6.3,2.18,-0.653968254,65
22,LINCOLN,78,1309,6,4.83,-0.189426923,19
23,LOGAN,114,2594,4.4,1.38,-0.685989474,69
24,MARION,102,3368,3,2.53,-0.164603922,16
25,MARSHALL,90,1968,4.6,2.15,-0.529866667,53
26,MASON,103,1540,6.7,2.51,-0.624718447,62
27,MCDOWELL,38,1263,3,0.78,-0.740752632,74
28,MERCER,192,3727,5.2,2.5,-0.514713542,51
29,MINERAL,69,1614,4.3,1.91,-0.553226087,55
30,MINGO,54,1652,3.3,2.02,-0.38202963,38
31,MONONGALIA,650,6524,10,4.97,-0.501164923,50
32,MONROE,62,762,8.1,4.83,-0.406377419,41
33,MORGAN,91,1241,7.3,1.46,-0.800894505,80
34,NICHOLAS,104,1608,6.5,3.03,-0.531515385,53
35,OHIO,179,2516,7.1,2.4,-0.662659218,66
36,PENDLETON,21,442,4.8,4.62,-0.0276,3
37,PLEASANTS,29,506,5.7,3.99,-0.303813793,30
38,POCAHONTAS,28,419,6.7,2.47,-0.630382143,63
39,PRESTON,93,1662,5.6,2.06,-0.631858065,63
40,PUTNAM,353,4035,8.7,0.42,-0.951991501,95
41,RALEIGH,229,4724,4.8,1.75,-0.638995633,64
42,RANDOLPH,141,1533,9.2,3.73,-0.594461702,59
43,RITCHIE,36,544,6.6,3.29,-0.502844444,50
44,ROANE,55,833,6.6,2.51,-0.619849091,62
45,SUMMERS,53,702,7.5,6.04,-0.199984906,20
46,TAYLOR,44,796,5.5,1.75,-0.683409091,68
47,TUCKER,64,409,15.6,6.51,-0.583970313,58
48,TYLER,21,535,3.9,5.15,0.31202381,-31
49,UPSHUR,121,1252,9.7,3.03,-0.686482645,69
50,WAYNE,91,2582,3.5,1.91,-0.458063736,46
51,WEBSTER,22,491,4.5,2.02,-0.549172727,55
52,WETZEL,71,1130,6.3,2.63,-0.581422535,58
53,WIRT,20,335,6,4.67,-0.217775,22
54,WOOD,366,4912,7.5,0.29,-0.961079781,96
55,WYOMING,59,1613,3.7,2.1,-0.425881356,43
