County,Voter Age
BARBOUR,18.1
BARBOUR,18.9
BARBOUR,19
BARBOUR,19.1
BARBOUR,19.2
BARBOUR,19.4
BARBOUR,19.7
BARBOUR,19.7
BARBOUR,20.4
BARBOUR,20.5
BARBOUR,21
BARBOUR,22.5
BARBOUR,22.6
BARBOUR,22.9
BARBOUR,24.2
BARBOUR,24.6
BARBOUR,25.8
BARBOUR,26.3
BARBOUR,26.6
BARBOUR,26.7
BARBOUR,27.5
BARBOUR,28
BARBOUR,28.4
BARBOUR,28.6
BARBOUR,28.6
BARBOUR,28.8
BARBOUR,28.8
BARBOUR,28.9
BARBOUR,29.2
BARBOUR,29.8
BARBOUR,29.9
BARBOUR,30.2
BARBOUR,30.5
BARBOUR,31
BARBOUR,31.1
BARBOUR,31.1
BARBOUR,31.9
BARBOUR,32.1
BARBOUR,32.4
BARBOUR,32.7
BARBOUR,33
BARBOUR,33
BARBOUR,33.4
BARBOUR,34
BARBOUR,34.1
BARBOUR,34.4
BARBOUR,34.7
BARBOUR,34.8
BARBOUR,35
BARBOUR,35
BARBOUR,35.2
BARBOUR,35.4
BARBOUR,35.6
BARBOUR,35.7
BARBOUR,36.1
BARBOUR,36.5
BARBOUR,36.5
BARBOUR,36.7
BARBOUR,37.2
BARBOUR,37.7
BARBOUR,38.4
BARBOUR,39.2
BARBOUR,39.2
BARBOUR,39.4
BARBOUR,39.5
BARBOUR,39.5
BARBOUR,39.6
BARBOUR,39.8
BARBOUR,39.9
BARBOUR,39.9
BARBOUR,40.1
BARBOUR,40.3
BARBOUR,40.4
BARBOUR,40.4
BARBOUR,40.4
BARBOUR,40.4
BARBOUR,40.7
BARBOUR,40.9
BARBOUR,41.1
BARBOUR,41.2
BARBOUR,41.3
BARBOUR,41.3
BARBOUR,41.3
BARBOUR,41.7
BARBOUR,41.7
BARBOUR,41.7
BARBOUR,42.2
BARBOUR,42.2
BARBOUR,42.6
BARBOUR,42.7
BARBOUR,42.8
BARBOUR,43.3
BARBOUR,44.3
BARBOUR,44.5
BARBOUR,44.5
BARBOUR,44.6
BARBOUR,44.8
BARBOUR,44.9
BARBOUR,45.3
BARBOUR,45.3
BARBOUR,45.4
BARBOUR,45.6
BARBOUR,46.1
BARBOUR,46.2
BARBOUR,46.3
BARBOUR,46.3
BARBOUR,46.3
BARBOUR,46.5
BARBOUR,46.5
BARBOUR,46.6
BARBOUR,46.8
BARBOUR,46.8
BARBOUR,47
BARBOUR,47.1
BARBOUR,47.1
BARBOUR,47.3
BARBOUR,47.4
BARBOUR,47.4
BARBOUR,47.6
BARBOUR,47.7
BARBOUR,47.7
BARBOUR,47.9
BARBOUR,47.9
BARBOUR,48.1
BARBOUR,48.1
BARBOUR,48.2
BARBOUR,48.4
BARBOUR,48.5
BARBOUR,48.6
BARBOUR,48.7
BARBOUR,48.7
BARBOUR,48.9
BARBOUR,49.1
BARBOUR,49.3
BARBOUR,49.4
BARBOUR,49.4
BARBOUR,49.5
BARBOUR,49.5
BARBOUR,49.5
BARBOUR,49.6
BARBOUR,49.7
BARBOUR,49.8
BARBOUR,49.8
BARBOUR,49.8
BARBOUR,49.9
BARBOUR,50
BARBOUR,50.3
BARBOUR,50.3
BARBOUR,50.5
BARBOUR,50.6
BARBOUR,50.6
BARBOUR,50.8
BARBOUR,51
BARBOUR,51
BARBOUR,51.1
BARBOUR,51.1
BARBOUR,51.2
BARBOUR,51.3
BARBOUR,51.3
BARBOUR,51.3
BARBOUR,51.3
BARBOUR,51.5
BARBOUR,51.5
BARBOUR,51.6
BARBOUR,51.8
BARBOUR,51.9
BARBOUR,52.2
BARBOUR,52.2
BARBOUR,52.2
BARBOUR,52.3
BARBOUR,52.3
BARBOUR,52.3
BARBOUR,52.4
BARBOUR,52.6
BARBOUR,52.7
BARBOUR,52.7
BARBOUR,52.9
BARBOUR,52.9
BARBOUR,53.1
BARBOUR,53.2
BARBOUR,53.3
BARBOUR,53.4
BARBOUR,53.5
BARBOUR,53.5
BARBOUR,53.5
BARBOUR,53.7
BARBOUR,53.7
BARBOUR,53.7
BARBOUR,53.9
BARBOUR,54
BARBOUR,54.2
BARBOUR,54.2
BARBOUR,54.3
BARBOUR,54.4
BARBOUR,54.4
BARBOUR,54.4
BARBOUR,54.5
BARBOUR,54.6
BARBOUR,54.7
BARBOUR,54.7
BARBOUR,54.9
BARBOUR,54.9
BARBOUR,54.9
BARBOUR,55
BARBOUR,55
BARBOUR,55.1
BARBOUR,55.3
BARBOUR,55.3
BARBOUR,55.3
BARBOUR,55.3
BARBOUR,55.6
BARBOUR,55.6
BARBOUR,55.7
BARBOUR,55.8
BARBOUR,55.8
BARBOUR,55.8
BARBOUR,56
BARBOUR,56.1
BARBOUR,56.1
BARBOUR,56.1
BARBOUR,56.2
BARBOUR,56.2
BARBOUR,56.2
BARBOUR,56.4
BARBOUR,56.4
BARBOUR,56.4
BARBOUR,56.4
BARBOUR,56.4
BARBOUR,56.6
BARBOUR,56.8
BARBOUR,56.9
BARBOUR,56.9
BARBOUR,57.2
BARBOUR,57.3
BARBOUR,57.3
BARBOUR,57.4
BARBOUR,57.6
BARBOUR,57.6
BARBOUR,57.9
BARBOUR,57.9
BARBOUR,58
BARBOUR,58
BARBOUR,58.1
BARBOUR,58.1
BARBOUR,58.1
BARBOUR,58.1
BARBOUR,58.1
BARBOUR,58.3
BARBOUR,58.3
BARBOUR,58.4
BARBOUR,58.5
BARBOUR,58.5
BARBOUR,58.6
BARBOUR,58.7
BARBOUR,58.8
BARBOUR,58.8
BARBOUR,58.9
BARBOUR,59.1
BARBOUR,59.1
BARBOUR,59.1
BARBOUR,59.1
BARBOUR,59.2
BARBOUR,59.3
BARBOUR,59.3
BARBOUR,59.3
BARBOUR,59.4
BARBOUR,59.4
BARBOUR,59.5
