County,Voter Gender
UPSHUR,F
MONONGALIA,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
HARRISON,M
BARBOUR,F
HARRISON,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
RANDOLPH,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
RANDOLPH,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
WOOD,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
MONONGALIA,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
RANDOLPH,
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
UPSHUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
HARRISON,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
HARRISON,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BERKELEY,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
UPSHUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
RANDOLPH,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
HARRISON,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
RANDOLPH,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
RANDOLPH,M
BARBOUR,M
BARBOUR,M
MONONGALIA,N
MONONGALIA,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
RANDOLPH,
BARBOUR,F
BARBOUR,M
BARBOUR,F
OHIO,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
MONONGALIA,M
MONONGALIA,M
MONONGALIA,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
UPSHUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
MONONGALIA,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
TAYLOR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
UPSHUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
KANAWHA,M
BARBOUR,M
BARBOUR,F
KANAWHA,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
RANDOLPH,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
RANDOLPH,F
RANDOLPH,M
BARBOUR,F
RANDOLPH,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
TAYLOR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
MARION,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
UPSHUR,M
UPSHUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
TUCKER,F
MONONGALIA,M
UPSHUR,F
HARRISON,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
HARRISON,F
MERCER,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
RANDOLPH,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
RANDOLPH,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
WOOD,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,
PUTNAM,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
HARRISON,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
